Timestamp,Open,High,Low,Close,Vol,VolCcy,Rate
2018/5/16,8467.4,8484.8,8075,8339.9,12238.6842,101122809.93449946,2.32
2018/5/17,8339.9,8466,8000,8048.4,10444.65658,86380047.42868202,2.32
2018/5/18,8049.3,8275.9,7918,8231.7,11615.22741,94006720.50669135,2.32
2018/5/19,8231.8,8388.2,8134.2,8236.7,9742.22197,80401309.23911287,2.32
2018/5/20,8236.6,8604.7,8170,8530,8812.582888,73616717.25143255,2.32
2018/5/21,8528.1,8583,8305,8376.9,8620.679134,72921757.39470072,2.35
2018/5/22,8376.9,8399,6002,7978.8,9758.206006,80238319.42896978,2.34
2018/5/23,7970.9,8035.7,7432,7491.2,12103.98228,93724175.38085762,2.29
2018/5/24,7501.7,7720,7250,7572.1,12703.55073,95418934.41654699,2.28
2018/5/25,7575.7,7645.8,7312.5,7457,9724.55597,72677122.48735245,2.27
2018/5/26,7464.8,7654.9,7303,7339.9,7161.659287,53586189.57198093,2.27
2018/5/27,7339.8,7399,7140,7349.6,7776.00344,56881328.25391821,2.27
2018/5/28,7355,7441.4,7058,7106.8,9486.351774,68726310.75134484,2.27
2018/5/29,7106.7,7532,7006.7,7463.3,11589.79945,84510139.15465589,2.17
2018/5/30,7464.1,7561.9,7265.4,7378.7,8944.132592,66561139.90092298,2.23
2018/5/31,7378.9,7608.6,7328.9,7489.5,8801.527488,66039319.51327809,2.23
2018/6/1,7489.4,7618.2,7355,7518.5,8827.162207,66070747.47712658,2.28
2018/6/2,7517.6,7695.3,7450,7640,8382.213199,63738165.82039301,2.28
2018/6/3,7642.9,7774,7594.7,7717.7,7856.61963,60449692.51768511,2.28
2018/6/4,7714.1,7764.7,7441.1,7487,8471.474339,64072061.53,2.3
2018/6/5,7487,7672.8,7359.1,7621.5,8750.351341,65462728.45081156,2.32
2018/6/6,7623.7,7699.6,7478.2,7653.2,7879.324921,59918314.35099315,2.32
2018/6/7,7661.3,7755,7649.3,7687.5,8997.280186,69263145.89807576,2.31
2018/6/8,7691.4,7715.4,7541,7613.2,7884.725948,60151878.32,2.3
2018/6/9,7613.2,7688.8,7460,7496,7246.061986,55216822.43385288,2.3
2018/6/10,7494.7,7496,6626.2,6761,15868.08117,111056031.79669189,2.3
2018/6/11,6762.3,6908.8,6625.5,6870.4,12373.61309,83434644.85025523,2.32
2018/6/12,6872.9,6873.3,6450,6541.1,11846.56015,79450836.24052983,2.31
2018/6/13,6541,6615,6098.1,6297.1,13170.32055,84397435.53820961,2.35
2018/6/14,6294.1,6700,6265,6638.9,11029.10353,71597061.29772054,2.35
2018/6/15,6635.7,6656.3,6363.6,6388.2,10018.05462,65510847.11238549,2.35
2018/6/16,6388.2,6554.4,6331.8,6483.4,6762.535711,43641325.35098786,2.35
2018/6/17,6483.1,6588.3,6425,6445,6149.35889,40004960.93511489,2.35
2018/6/18,6442.8,6788.8,6382.3,6704.8,7261.099994,47414988.34095587,2.35
2018/6/19,6705.3,6834.9,6660.6,6738.1,8607.011776,57865802.52265416,2.34
2018/6/20,6739.3,6806.1,6558,6758.1,7975.671686,53177241.73656518,2.36
2018/6/21,6756.2,6797.1,6678.8,6718.6,6541.466079,44029219.43946221,2.34
2018/6/22,6718.9,6732.5,5926,6048.2,14346.55437,90280414.67387029,2.33
2018/6/23,6044.4,6256.6,5997.5,6151,8914.350301,54464085.16581309,2.33
2018/6/24,6152.4,6246.1,5750.8,6141,13584.3145,81291215.19565079,2.33
2018/6/25,6141,6334.5,6078.8,6247.5,9416.604476,58356647.33,2.34
